customer_id,first_name,last_name,phone,email,street,city,state,zip_code
10,Pamelia,Newman,NULL,pamelia.newman@gmail.com,"476 Chestnut Ave. ",Monroe,NY,10950
15,Linnie,Branch,NULL,linnie.branch@gmail.com,"314 South Columbia Ave. ",Plattsburgh,NY,12901
21,Tobie,Little,NULL,tobie.little@gmail.com,"10 Silver Spear Dr. ",Victoria,TX,77904
22,Adelle,Larsen,NULL,adelle.larsen@gmail.com,"683 West Kirkland Dr. ","East Northport",NY,11731
25,Regenia,Vaughan,NULL,regenia.vaughan@gmail.com,"44 Stonybrook Street ",Mahopac,NY,10541
26,Theo,Reese,"(562) 215-2907",theo.reese@gmail.com,"8755 W. Wild Horse St. ","Long Beach",NY,11561
30,Jamaal,Albert,NULL,jamaal.albert@gmail.com,"853 Stonybrook Street ",Torrance,CA,90505
37,Melia,Brady,NULL,melia.brady@gmail.com,"907 Shirley Rd. ",Maspeth,NY,11378
40,Ronna,Butler,NULL,ronna.butler@gmail.com,"9438 Plymouth Court ",Encino,CA,91316
46,Monika,Berg,NULL,monika.berg@gmail.com,"369 Vernon Dr. ",Encino,CA,91316
48,Cesar,Jackson,NULL,cesar.jackson@gmail.com,"8068 N. Griffin Ave. ",Liverpool,NY,13090
50,Cleotilde,Booth,NULL,cleotilde.booth@gmail.com,"17 Corona St. ","Sugar Land",TX,77478
53,Saturnina,Garner,NULL,saturnina.garner@gmail.com,"8538 Fairground St. ",Glendora,CA,91740
59,Latasha,Stanley,NULL,latasha.stanley@gmail.com,"8068 Fordham Drive ","Rockville Centre",NY,11570
60,Neil,Mccall,NULL,neil.mccall@gmail.com,"7476 Oakland Dr. ","San Carlos",CA,94070
65,Kanesha,Vega,NULL,kanesha.vega@gmail.com,"771 E. Oxford Drive ",Rome,NY,13440
67,Tommie,Melton,"(916) 802-2952",tommie.melton@gmail.com,"8 West Old York St. ",Sacramento,CA,95820
69,Katelin,Kennedy,NULL,katelin.kennedy@gmail.com,"286 Myrtle Lane ",Rocklin,CA,95677
77,Keri,Bridges,NULL,keri.bridges@gmail.com,"8504 Brickell Ave. ",Richardson,TX,75080
88,Titus,Bullock,NULL,titus.bullock@gmail.com,"29 Oxford Avenue ",Hollis,NY,11423
